Player,Team,Position,Age,Salary,KoH Team,GP,G,A,PIM,SOG,GWG,PPP,SHP,Hit,Blk,FOW
Auston Matthews,TOR,C,23,10470000,CHI,52,41,25,10,222,12,13,0,57,47,450
Connor McDavid,EDM,C,24,15000000,COL,56,33,72,20,200,11,37,0,61,24,316
Alex DeBrincat,CHI,LW,23,5100000,VAN,52,32,24,12,155,7,18,1,70,22,16
Leon Draisaitl,EDM,C,25,8000000,NSH,56,31,53,22,168,8,32,1,37,12,574
Mikko Rantanen,COL,RW,24,10000000,VAN,52,30,36,34,177,7,24,0,26,20,32
Brad Marchand,BOS,LW,33,6500000,NSH,53,29,40,46,143,5,18,7,66,11,11
Tyler Toffoli,MTL,RW,29,5125000,SENS,52,28,16,24,158,5,10,3,75,12,21
Kirill Kaprizov,MIN,LW,24,925000,COL,55,27,24,16,157,3,13,0,29,18,3
Aleksander Barkov,FLA,C,25,7750000,MIN,50,26,32,14,176,6,19,1,31,37,563
Kyle Connor,WPG,LW,24,7500000,PHI,56,26,24,12,166,5,13,0,18,18,6
Joe Pavelski,DAL,C,37,8000000,COL,56,25,26,16,139,4,21,0,64,39,362
Sam Reinhart,FLA,C,25,5200000,BOS,54,25,15,10,130,5,16,0,15,27,126
Sebastian Aho,CAR,C,23,7700000,CLS,56,24,33,32,148,7,18,3,38,25,365
Sidney Crosby,PIT,C,33,9000000,TB,55,24,38,26,159,5,22,1,44,28,676
Ryan O'Reilly,STL,C,30,6000000,NSH,56,24,30,18,129,4,12,2,24,26,704
Alex Ovechkin,WSH,LW,35,10000000,SENS,45,24,18,12,182,6,17,0,98,23,0
Max Pacioretty,VGK,LW,32,5250000,SK,48,24,27,14,174,6,12,0,33,29,20
Mika Zibanejad,NYR,C,28,4750000,NSH,56,24,26,18,171,7,14,4,75,44,479
Patrice Bergeron,BOS,C,36,4375000,MIN,54,23,25,16,182,3,13,4,49,36,714
Brock Boeser,VAN,RW,24,7500000,MTL,56,23,26,16,141,1,14,1,32,20,8
Jake Guentzel,PIT,LW,26,7000000,MTL,56,23,34,28,141,7,18,1,43,32,3
Brayden Point,TBL,C,25,9000000,PHI,56,23,25,11,131,6,15,0,23,18,257
Evander Kane,SJS,LW,29,7000000,NSH,56,22,27,42,194,2,7,4,97,22,23
T.J. Oshie,WSH,RW,34,6000000,TB,53,22,21,18,106,1,17,0,70,27,139
Bryan Rust,PIT,RW,29,3500000,BOS,56,22,20,18,154,6,11,0,62,30,3
Connor Brown,OTT,RW,27,4000000,CLS,56,21,14,12,123,1,4,5,22,30,12
Nikolaj Ehlers,WPG,LW,25,6500000,LAK,47,21,25,15,148,5,13,0,26,12,1
Mark Scheifele,WPG,C,28,6750000,SK,56,21,42,12,126,4,17,0,31,38,352
Mark Stone,VGK,RW,29,12000000,CLS,55,21,40,28,98,8,17,1,31,33,12
Pavel Buchnevich,STL,RW,26,3500000,MTL,54,20,28,42,120,2,8,4,49,29,4
Joel Farabee,PHI,LW,21,925000,PHI,55,20,18,28,122,1,7,0,48,21,6
Kevin Fiala,MIN,LW,25,3500000,CHI,50,20,20,43,162,5,14,0,27,13,5
Jonathan Huberdeau,FLA,LW,28,5300000,MTL,55,20,41,36,122,1,24,0,51,11,17
Phil Kessel,ARI,RW,33,6000000,BOS,56,20,23,12,115,3,13,0,8,9,1
Chris Kreider,NYR,LW,30,9500000,MTL,50,20,10,34,102,4,14,0,115,35,30
Gabriel Landeskog,COL,LW,28,6500000,CLS,54,20,32,34,155,8,15,0,81,28,288
Nathan MacKinnon,COL,C,25,6850000,COL,48,20,45,37,206,2,25,0,38,15,239
Mitchell Marner,TOR,RW,24,10358000,PHI,55,20,47,20,156,5,14,2,23,41,4
Nino Niederreiter,CAR,LW,28,5475000,PHI,56,20,14,29,126,4,5,0,68,17,1
David Pastrnak,BOS,RW,25,6800000,CLS,48,20,28,24,176,3,14,0,35,13,2
Andre Burakovsky,COL,LW,26,5400000,TB,53,19,25,10,102,3,14,0,22,16,2
Joel Eriksson Ek,MIN,C,24,3000000,LAK,56,19,11,20,119,2,2,0,105,37,395
Johnny Gaudreau,CGY,LW,27,6750000,CHI,56,19,30,6,112,5,19,0,8,9,0
Tomas Hertl,SJS,C,27,5500000,LAK,50,19,24,27,112,2,10,1,39,39,485
Bo Horvat,VAN,C,26,5775000,SK,56,19,20,23,131,3,11,1,64,38,648
Elias Lindholm,CGY,C,26,5850000,NSH,56,19,28,22,130,4,16,1,53,34,509
David Perron,STL,LW,33,3412500,MTL,56,19,39,22,151,2,21,0,45,25,0
John Tavares,TOR,C,30,9350000,COL,56,19,31,14,163,2,12,0,51,28,471
Jakub Vrana,DET,LW,25,3000000,MTL,50,19,17,10,100,7,5,0,29,8,4
Oliver Bjorkstrand,CBJ,RW,26,4500000,ANH,56,18,26,23,143,0,6,0,42,30,3
Jakob Chychrun,ARI,D,23,5300000,TB,56,18,23,42,176,3,14,0,59,89,0
Sean Couturier,PHI,C,28,4750000,LAK,45,18,23,8,120,4,10,0,34,22,427
